"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","C0805","7200mil","5900mil","7200mil","5900mil","7200mil","5937mil","T","270.00","0.1uF"
"C2","C4X5.8","7050mil","5900mil","7050mil","5900mil","7050mil","5970mil","T","360.00","10uF 16V"
"C3","C0805","6750mil","5400mil","6750mil","5400mil","6750mil","5437mil","T","270.00","0.1uF"
"C4","C0805","7050mil","4100mil","7050mil","4100mil","7050mil","4137mil","T","270.00","0.1uF"
"C8","C_EIA7343-43_(X)","10655mil","5380mil","10655mil","5380mil","10780.984mil","5380mil","T","180.00","47uF 35V"
"C9","C_EIA7343-43_(X)","10660mil","4955mil","10660mil","4955mil","10785.984mil","4955mil","T","180.00","47uF 35V"
"C10","C0805","6670mil","800mil","6670mil","800mil","6670mil","763mil","T","90.00","0.1uF"
"C11","C0805","10300mil","5400mil","10300mil","5400mil","10300mil","5437mil","T","270.00","0.1uF"
"C15","C0805","9885mil","5250mil","9885mil","5250mil","9922mil","5250mil","T","180.00",".01uF"
"C17","C0805","5065mil","6035mil","5065mil","6035mil","5065mil","5998mil","T","90.00","0.1uF"
"C20","C7343","9900mil","4900mil","9900mil","4900mil","9900mil","4775mil","T","90.00","68uF 16V"
"C22","C0805","7350mil","4750mil","7350mil","4750mil","7387mil","4750mil","T","180.00","18pF"
"C23","C4X5.8","5515mil","6035mil","5515mil","6035mil","5515mil","5965mil","T","180.00","10uF 16V"
"C24","C7343","10100mil","4900mil","10100mil","4900mil","10100mil","4775mil","T","90.00","68uF 16V"
"C26","C0805","7150mil","4750mil","7150mil","4750mil","7113mil","4750mil","T","0.00","18pF"
"C28","C0805","13350mil","3835mil","13350mil","3835mil","13350mil","3798mil","T","90.00","0.1uF"
"C30","C0805","7050mil","1700mil","7050mil","1700mil","7050mil","1737mil","T","270.00","0.1uF"
"C31","C0805","8250mil","5950mil","8250mil","5950mil","8287mil","5950mil","T","180.00","0.1uF"
"C32","C4X5.8","13800mil","3835mil","13800mil","3835mil","13800mil","3765mil","T","180.00","10uF 16V"
"C37","C0805","7050mil","2400mil","7050mil","2400mil","7050mil","2437mil","T","270.00","0.1uF"
"C46","C0805","7050mil","3400mil","7050mil","3400mil","7050mil","3437mil","T","270.00","0.1uF"
"C47","C0805","5200mil","1400mil","5200mil","1400mil","5200mil","1437mil","T","270.00","0.1uF"
"C48","C0805","5900mil","1400mil","5900mil","1400mil","5900mil","1437mil","T","270.00","0.1uF"
"C49","C0805","6600mil","1400mil","6600mil","1400mil","6600mil","1437mil","T","270.00","0.1uF"
"C50","C0805","9200mil","1400mil","9200mil","1400mil","9200mil","1437mil","T","270.00","0.1uF"
"C51","C0805","9900mil","1400mil","9900mil","1400mil","9900mil","1437mil","T","270.00","0.1uF"
"C52","C0805","10600mil","1400mil","10600mil","1400mil","10600mil","1437mil","T","270.00","0.1uF"
"D1","DIODE_SMC","13990mil","4250mil","13990mil","4250mil","14120.118mil","4250mil","T","180.00","3A 600V SMC"
"D2","D2PAK","9500mil","5512.5mil","9500mil","5700mil","9400mil","5325mil","T","360.00","8A 80V"
"DS1","LED_T1-3/4_Flush","2448.9mil","4585.8mil","2398.9mil","4585.8mil","2398.9mil","4585.8mil","T","0.00","RED T1-3/4"
"DS2","LED_T1-3/4_Flush","2693.9mil","4585.8mil","2643.9mil","4585.8mil","2643.9mil","4585.8mil","T","0.00","RED T1-3/4"
"DS3","LED_T1-3/4_Flush","4073.9mil","4585.8mil","4023.9mil","4585.8mil","4023.9mil","4585.8mil","T","0.00","RED T1-3/4"
"DS4","LED_T1-3/4_Flush","4318.9mil","4585.8mil","4268.9mil","4585.8mil","4268.9mil","4585.8mil","T","0.00","RED T1-3/4"
"DS5","LED_T1-3/4_Flush","5698.9mil","4585.8mil","5648.9mil","4585.8mil","5648.9mil","4585.8mil","T","0.00","RED T1-3/4"
"DS6","LED_T1-3/4_Flush","5943.9mil","4585.8mil","5893.9mil","4585.8mil","5893.9mil","4585.8mil","T","0.00","RED T1-3/4"
"DS7","LED_T1-3/4_Flush","8948.9mil","4585.8mil","8898.9mil","4585.8mil","8898.9mil","4585.8mil","T","0.00","GREEN T1-3/4"
"DS8","LED_T1-3/4_Flush","9193.9mil","4585.8mil","9143.9mil","4585.8mil","9143.9mil","4585.8mil","T","0.00","GREEN T1-3/4"
